,0
983,83.0
987,56.0
989,16.0
992,115.0
993,107.0
994,62.0
995,426.0
996,37.0
998,106.0
1000,27.0
1002,23.0
1005,18.0
1008,229.0
1013,75.0
1015,82.0
1016,264.0
1017,51.0
1018,49.0
1019,407.0
1020,22.0
1021,7.0
1023,31.0
1024,539.0
1027,5.0
1032,52.0
1035,73.0
1039,24.0
1040,49.0
1042,11.0
1051,4.0
1053,227.0
1055,197.0
1057,13.0
1058,1.0
1060,881.0
1061,3.0
1062,123.0
1063,1.0
1065,10.0
1066,25.0
1068,2.0
1070,59.0
1071,26.0
1072,84.0
1075,10.0
1076,51.0
1077,4.0
1079,1.0
1080,7.0
1081,20.0
1084,1.0
1085,36.0
1088,73.0
1090,10.0
1094,1167.0
1095,28.0
1098,54.0
1103,13.0
1104,28.0
1105,316.0
1106,2.0
1110,10.0
1111,559.0
1115,1.0
1116,71.0
1117,72.0
1120,12.0
1121,13.0
1122,14.0
1123,51.0
1124,26.0
1125,66.0
1126,2.0
1127,82.0
1128,105.0
1132,10.0
1133,4.0
1136,442.0
1137,239.0
1138,374.0
1139,338.0
1140,180.0
1144,219.0
1150,5.0
1151,97.0
1154,256.0
1159,301.0
1160,207.0
1161,212.0
1162,72.0
1166,4.0
1168,340.0
1169,6.0
1171,9.0
1182,21.0
1185,8.0
1192,113.0
1194,8.0
1195,68.0
1199,1.0
1200,5.0
1203,28.0
1205,86.0
1207,9.0
1209,3.0
1214,9.0
1220,23.0
1228,31.0
1229,28.0
1231,69.0
1239,107.0
1241,3.0
1242,5.0
1244,1.0
1246,21.0
1247,178.0
1251,3.0
1253,9.0
1254,81.0
1257,2.0
1259,7.0
1261,4.0
1263,80.0
1266,3.0
1268,11.0
1269,33.0
1270,2.0
1271,5.0
1272,66.0
1273,134.0
1274,12.0
1276,1.0
1277,191.0
1284,150.0
1285,154.0
1287,15.0
1288,87.0
1289,6.0
1291,2.0
1295,7.0
1296,2.0
1297,33.0
1299,17.0
1300,333.0
1302,106.0
1304,10.0
1306,3.0
1308,66.0
1310,2.0
1311,17.0
1313,65.0
1314,5.0
1315,3.0
1316,21.0
1318,4.0
1320,1459.0
1322,98.0
1323,1.0
1325,54.0
1326,67.0
1327,11.0
1328,2.0
1329,52.0
1330,23.0
1335,163.0
1336,28.0
1339,71.0
1340,40.0
1342,4.0
1343,11.0
1345,3.0
1347,154.0
1348,202.0
1349,25.0
1351,3.0
1354,28.0
1356,20.0
1359,372.0
1360,63.0
1362,8.0
1363,3.0
1368,551.0
1369,55.0
1371,15.0
1372,692.0
1373,313.0
1374,122.0
1376,16.0
1378,28.0
1380,13.0
1381,1924.0
1385,212.0
1386,5.0
1388,174.0
1389,166.0
1393,7.0
1394,31.0
1395,37.0
1396,2.0
1398,61.0
1400,90.0
1403,7.0
1404,168.0
1410,230.0
1413,36.0
1415,1263.0
1416,1.0
1417,4.0
1418,2.0
1421,67.0
1422,36.0
1423,385.0
1424,50.0
1427,82.0
1429,71.0
1430,15.0
1433,18.0
1437,7.0
1440,29.0
1443,125.0
1444,41.0
1445,61.0
1446,1.0
1449,120.0
1450,18.0
1451,351.0
1452,1.0
1454,233.0
1455,13.0
1456,18.0
1457,13.0
1458,53.0
1459,11.0
1462,81.0
1465,90.0
1466,3.0
1467,52.0
1469,56.0
1471,51.0
1472,5.0
1473,106.0
1474,46.0
1476,11.0
1479,111.0
1480,26.0
1481,58.0
1484,65.0
1485,54.0
1486,82.0
1487,20.0
1489,284.0
1492,230.0
1493,11.0
1496,63.0
1499,252.0
1501,1261.0
1503,89.0
1504,121.0
1505,98.0
1507,1840.0
1508,449.0
1509,85.0
1510,7.0
1511,1.0
1512,125.0
1515,6.0
1517,67.0
1518,256.0
1520,44.0
1521,3.0
1522,4.0
1523,295.0
1525,129.0
1526,29.0
1527,19.0
1529,5.0
1530,87.0
1533,7.0
1534,39.0
1537,63.0
1538,233.0
1539,20.0
1540,93.0
1541,7.0
1544,163.0
1546,29.0
1549,189.0
1553,134.0
1554,1.0
1556,300.0
1558,3.0
1559,46.0
1560,54.0
1561,194.0
1562,7.0
1563,121.0
1565,32.0
1568,18.0
1572,452.0
1574,31.0
1575,1485.0
1576,265.0
1579,822.0
1580,7.0
1582,49.0
1583,405.0
1584,1.0
1585,6.0
1587,535.0
1589,129.0
1590,23.0
1591,125.0
1592,82.0
1593,17.0
1594,6.0
1595,9.0
1598,148.0
1599,6.0
1601,61.0
1602,30.0
1604,6.0
1605,550.0
1608,1.0
1609,3.0
1610,101.0
1612,3.0
1613,12.0
1614,148.0
1615,64.0
1619,1.0
1622,8.0
1627,32.0
1628,439.0
1634,51.0
1637,84.0
1640,17.0
1643,9.0
1646,38.0
1647,5.0
1651,1.0
1657,108.0
1658,7.0
1659,42.0
1661,433.0
1663,3.0
1665,72.0
1672,285.0
1673,6.0
1675,10.0
1677,1.0
1678,1.0
1680,38.0
1683,4.0
1684,35.0
1685,63.0
1687,13.0
1688,20.0
1690,463.0
1691,19.0
1695,219.0
1697,210.0
1698,11.0
1700,124.0
1701,28.0
1705,47.0
1707,75.0
1712,1.0
1715,105.0
1716,172.0
1717,37.0
1719,11.0
1720,394.0
1721,51.0
1723,8.0
1724,18.0
1726,16.0
1728,6.0
1730,77.0
1731,5.0
1732,30.0
1733,1.0
1734,113.0
1740,1.0
1748,5.0
1749,334.0
1750,57.0
1753,20.0
1754,4.0
1755,447.0
1756,26.0
1757,129.0
1758,12.0
1759,14.0
1761,84.0
1763,63.0
1764,8.0
1767,80.0
1770,72.0
1771,526.0
1772,22.0
1774,10.0
1775,40.0
1776,3.0
1778,19.0
1785,9.0
1790,11.0
1791,51.0
1792,208.0
1799,1.0
1800,6.0
1802,13.0
1807,1.0
1809,63.0
1810,6.0
1812,89.0
1817,3.0
1818,78.0
1821,7.0
1825,70.0
1828,183.0
1843,103.0
1844,1.0
1845,23.0
1846,3.0
1850,26.0
1853,2.0
1854,7.0
1855,2.0
1860,2.0
1862,21.0
1864,7.0
1867,1.0
1869,18.0
1882,363.0
1884,334.0
1888,2.0
1889,8.0
1890,87.0
1893,4.0
1900,1.0
1902,2.0
1904,4.0
1905,31.0
1909,248.0
1911,63.0
1918,2.0
1920,9.0
1922,1.0
1924,21.0
1928,6.0
1929,2.0
1931,395.0
1932,71.0
1933,14.0
1934,1.0
1936,245.0
1938,17.0
1939,30.0
1940,8.0
1941,13.0
1945,14.0
1947,1.0
1951,106.0
1959,14.0
1962,645.0
1964,17.0
1965,21.0
1967,62.0
1970,3.0
1972,4.0
1973,2.0
1974,254.0
1976,9.0
1977,5.0
1979,360.0
1980,36.0
1983,244.0
1990,31.0
1991,30.0
1994,36.0
1996,138.0
1998,2.0
2001,1.0
2002,313.0
2003,69.0
2006,16.0
2007,124.0
2008,32.0
2009,14.0
2012,1.0
2015,30.0
2018,13.0
2019,462.0
2020,41.0
2021,634.0
2025,7.0
2026,12.0
2027,14.0
2028,224.0
2031,20.0
2032,4.0
2033,11.0
2036,71.0
2037,18.0
2038,7.0
2040,185.0
2045,2.0
2046,25.0
2047,3.0
2048,1.0
2055,4.0
2056,28.0
2057,54.0
2061,4.0
2062,8.0
2066,156.0
2068,2.0
2071,5.0
2072,76.0
2073,2.0
2077,22.0
2078,29.0
2079,428.0
2080,21.0
2084,124.0
2085,40.0
2088,297.0
2089,28.0
2090,2.0
2092,17.0
2093,7.0
2095,62.0
2096,56.0
2099,43.0
2101,3.0
2104,7.0
2106,6.0
2108,1.0
2110,24.0
2111,779.0
2112,7.0
2115,17.0
2117,54.0
2120,4.0
2121,2.0
2124,9.0
2125,5.0
2126,7.0
2127,14.0
2129,57.0
2131,64.0
2133,18.0
2136,577.0
2137,3.0
2144,51.0
2146,79.0
2148,3.0
2149,201.0
2155,30.0
2158,88.0
2159,3.0
2161,1.0
2162,36.0
2163,3.0
2165,1.0
2167,60.0
2173,2.0
2176,30.0
2177,7.0
2178,1.0
2179,38.0
2182,5.0
2185,79.0
2188,8.0
2189,266.0
2190,2.0
2193,18.0
2196,12.0
2197,39.0
2198,3.0
2199,2.0
2200,8.0
2201,5.0
2203,49.0
2204,188.0
2205,39.0
2206,1.0
2207,90.0
2208,49.0
2210,88.0
2211,7.0
2213,1.0
2215,55.0
2218,14.0
2219,46.0
2221,112.0
2225,5.0
2228,33.0
2229,50.0
2231,162.0
2232,8.0
2233,129.0
2238,10.0
2240,1.0
2242,13.0
2244,373.0
2246,67.0
2248,3.0
2251,125.0
2252,4.0
2254,16.0
2256,28.0
2259,38.0
2261,98.0
2262,5.0
2274,7.0
2276,12.0
2278,105.0
2279,18.0
2282,49.0
2283,1.0
2290,46.0
2293,469.0
2294,1.0
2295,75.0
2297,47.0
2298,2.0
2300,5.0
2306,1.0
2308,57.0
2314,6.0
2316,67.0
2317,72.0
2325,36.0
2329,54.0
2330,2.0
2332,190.0
2340,14.0
2345,2.0
2347,11.0
2348,1.0
2349,4.0
2352,15.0
2354,23.0
2356,1.0
2357,112.0
2359,3.0
2361,4.0
2362,5.0
2363,14.0
2364,7.0
2365,5.0
2366,122.0
2367,59.0
2370,38.0
2372,2.0
2376,78.0
2377,3.0
2378,4.0
2381,55.0
2382,53.0
2385,59.0
2387,326.0
2389,7.0
2391,21.0
2392,3.0
2394,59.0
2395,18.0
2397,28.0
2401,11.0
2403,314.0
2404,1144.0
2405,1.0
2406,3.0
2411,8.0
2413,1.0
2415,1.0
2416,36.0
2417,21.0
2420,69.0
2428,67.0
2430,3.0
2438,2.0
2441,184.0
2445,28.0
2448,2.0
2452,18.0
2461,9.0
2463,4.0
2464,23.0
2474,4.0
2479,19.0
2482,8.0
2484,7.0
2485,9.0
2487,5.0
2490,9.0
2491,27.0
2492,10.0
2493,31.0
2494,111.0
2495,32.0
2496,6.0
2498,127.0
2499,9.0
2505,45.0
2506,55.0
2507,8.0
2508,8.0
2509,49.0
2510,8.0
2511,2.0
2512,11.0
2514,9.0
2515,5.0
2517,17.0
2520,26.0
2522,1.0
2523,117.0
2526,6.0
2528,66.0
2532,7.0
2533,56.0
2534,2.0
2535,3.0
2537,32.0
2539,183.0
2540,37.0
2541,113.0
2543,9.0
2544,5.0
2545,69.0
2547,142.0
2548,23.0
2549,132.0
2550,30.0
2551,16.0
2553,10.0
2557,61.0
2559,2.0
2560,4.0
2561,1.0
2563,77.0
2564,7.0
2566,51.0
2568,94.0
2574,30.0
2579,7.0
2580,4.0
2585,27.0
2588,6.0
2589,26.0
2591,11.0
2592,13.0
2595,3.0
2596,3.0
2598,23.0
2600,2.0
2604,12.0
2605,160.0
2607,19.0
2613,3.0
2615,69.0
2618,3.0
2619,38.0
2620,72.0
2621,1.0
2622,362.0
2624,2.0
2625,2.0
2626,11.0
2627,135.0
2628,30.0
2629,223.0
2630,6.0
2633,93.0
2637,67.0
2639,42.0
2641,1.0
2643,77.0
2645,11.0
2646,29.0
2649,1.0
2651,13.0
2652,13.0
2658,21.0
2659,10.0
2660,31.0
2661,29.0
2662,17.0
2663,113.0
2666,2.0
2667,7.0
2671,153.0
2673,60.0
2676,3.0
2677,8.0
2678,40.0
2679,21.0
2680,5.0
2685,166.0
2687,63.0
2689,2.0
2690,110.0
2691,28.0
2694,91.0
2695,4.0
2697,12.0
2698,3.0
2701,54.0
2702,4.0
2704,94.0
2707,1.0
2709,7.0
2713,5.0
2716,21.0
2717,6.0
2720,2.0
2721,3.0
2722,134.0
2724,13.0
2726,14.0
2727,7.0
2730,50.0
2731,2.0
2734,10.0
2736,48.0
2737,21.0
2738,3.0
2740,1.0
2742,3.0
2748,1.0
2750,18.0
2753,1.0
2756,7.0
2758,2.0
2764,2.0
2766,7.0
2767,2.0
2768,37.0
2770,2.0
2777,1.0
2779,2.0
2780,9.0
2782,12.0
2783,24.0
2785,78.0
2786,4.0
2787,10.0
2790,4.0
2798,31.0
2801,2.0
2802,2.0
2809,36.0
2812,289.0
2813,5.0
2814,34.0
2815,69.0
2816,3.0
2818,11.0
2820,12.0
2821,7.0
2822,84.0
2823,41.0
2825,13.0
2829,19.0
2834,7.0
2836,1.0
2841,112.0
2842,3.0
2844,13.0
2846,1.0
2847,1.0
2850,5.0
2852,20.0
2853,10.0
2858,5.0
2860,17.0
2862,1.0
2863,11.0
2868,2.0
2869,239.0
2871,5.0
2875,508.0
2876,3.0
2879,14.0
2881,1.0
2884,48.0
2885,406.0
2887,68.0
2889,69.0
2893,54.0
2896,2.0
2897,61.0
2900,18.0
2901,6.0
2903,9.0
2905,11.0
2907,44.0
2911,213.0
2912,34.0
2913,21.0
2914,68.0
2916,54.0
2920,79.0
2923,6.0
2924,27.0
2925,16.0
2930,1.0
2932,11.0
2935,18.0
2936,52.0
2940,15.0
2943,37.0
2947,8.0
2948,1.0
2952,5.0
2957,1.0
2958,1.0
2959,7.0
2965,50.0
2966,3.0
2970,23.0
2972,3.0
2974,15.0
2976,7.0
2978,25.0
2980,1.0
2981,24.0
2982,49.0
2987,4.0
2988,308.0
2991,4.0
2992,6.0
2993,1.0
2994,30.0
3000,9.0
3001,5.0
3003,8.0
3005,65.0
3008,6.0
3012,3.0
3019,53.0
3025,2.0
3029,96.0
3031,99.0
3033,8.0
3038,3.0
3039,16.0
3040,5.0
3041,52.0
3043,30.0
3044,25.0
3045,196.0
3046,73.0
3049,14.0
3050,79.0
3052,36.0
3055,2.0
3057,8.0
3058,170.0
3059,40.0
3060,9.0
3061,3.0
3063,15.0
3066,1.0
3067,10.0
3068,135.0
3071,35.0
3072,1.0
3074,1.0
3075,55.0
3076,5.0
3082,20.0
3085,6.0
3086,3.0
3089,2.0
3090,8.0
3093,1.0
3097,66.0
3100,12.0
3101,4.0
3102,12.0
3104,222.0
3105,8.0
3108,1.0
3110,217.0
3111,3.0
3113,460.0
3115,25.0
3116,21.0
3119,2.0
3121,3.0
3123,25.0
3127,4.0
3128,15.0
3131,11.0
3132,5.0
3136,7.0
3137,4.0
3140,1.0
3141,9.0
3142,1.0
3144,90.0
3145,12.0
3148,3.0
3151,1.0
3155,164.0
3159,4.0
3165,5.0
3169,63.0
3171,5.0
3173,23.0
3176,3.0
3177,39.0
3180,276.0
3185,8.0
3189,6.0
3191,15.0
3192,36.0
3195,5.0
3196,1.0
3198,2.0
3199,26.0
3200,3.0
3203,4.0
3204,28.0
3206,1.0
3208,75.0
3211,40.0
3213,66.0
3214,63.0
3215,25.0
3217,180.0
3218,71.0
3221,3.0
3223,4.0
3224,15.0
3225,8.0
3226,74.0
3228,15.0
3230,1.0
3236,1.0
3238,48.0
3240,5.0
3246,25.0
3247,24.0
3249,5.0
3251,5.0
3256,8.0
3262,12.0
3263,43.0
3264,94.0
3265,20.0
3267,1.0
3268,240.0
3269,26.0
3270,2.0
3275,8.0
3276,352.0
3277,17.0
3278,111.0
3285,12.0
3288,1.0
3289,3.0
3290,5.0
3300,55.0
3305,1186.0
3309,11.0
3310,7.0
3312,8.0
3314,35.0
3315,10.0
3320,31.0
3321,21.0
3324,88.0
3325,56.0
3331,39.0
3332,12.0
3333,11.0
3334,34.0
3338,45.0
3340,53.0
3349,7.0
3352,4.0
3355,2.0
3356,18.0
3358,1.0
3364,171.0
3365,33.0
3369,14.0
3371,4.0
3373,10.0
3374,9.0
3375,79.0
3382,18.0
3394,1.0
3399,1.0
3400,5.0
3404,17.0
3408,8.0
3409,314.0
3415,5.0
3417,23.0
3426,4.0
3428,10.0
3432,28.0
3435,1.0
3436,15.0
3442,136.0
3445,27.0
3447,5.0
3449,3.0
3451,92.0
3456,13.0
3458,2.0
3463,11.0
3465,2.0
3466,11.0
3470,34.0
3471,1.0
3473,18.0
3482,3.0
3484,31.0
3485,3.0
3487,9.0
3488,1.0
3489,9.0
3492,97.0
3493,22.0
3503,3.0
3504,1.0
3506,392.0
3510,38.0
3511,5.0
3512,23.0
3514,3.0
3515,27.0
3519,7.0
3520,1.0
3524,5.0
3525,14.0
3528,1.0
3530,9.0
3531,7.0
3533,34.0
3535,123.0
3539,1.0
3544,58.0
3549,11.0
3560,4.0
3561,4.0
3562,15.0
3563,67.0
3566,2.0
3567,2.0
3568,58.0
3569,2.0
3573,14.0
3574,5.0
3577,14.0
3580,33.0
3581,46.0
3583,16.0
3587,18.0
3588,14.0
3589,6.0
3592,17.0
3594,37.0
3595,15.0
3596,58.0
3601,6.0
3602,36.0
3603,4.0
3604,5.0
3609,3.0
3610,11.0
3613,6.0
3615,71.0
3616,17.0
3618,5.0
3621,98.0
3623,37.0
3625,16.0
3627,8.0
3628,33.0
3629,40.0
3630,11.0
3632,1.0
3637,3.0
3642,58.0
3649,9.0
3651,5.0
3653,36.0
3657,12.0
3659,184.0
3662,4.0
3664,9.0
3666,7.0
3667,7.0
3669,1.0
3673,37.0
3674,2.0
3679,6.0
3686,12.0
3687,1.0
3688,1.0
3694,4.0
3695,4.0
3702,34.0
3706,6.0
3712,21.0
3713,15.0
3715,5.0
3719,2.0
3723,1.0
3724,13.0
3728,11.0
3730,15.0
3734,17.0
3735,2.0
3736,3.0
3737,7.0
3741,19.0
3742,11.0
3745,69.0
3747,264.0
3749,86.0
3750,11.0
3754,12.0
3760,1.0
3764,66.0
3767,3.0
3768,2.0
3771,15.0
3774,4.0
3775,13.0
3776,2.0
3777,59.0
3778,2.0
3780,20.0
3784,4.0
3785,3.0
3787,2.0
3788,1.0
3792,1.0
3793,2.0
3803,43.0
3810,6.0
3811,5.0
3814,3.0
3816,1.0
3817,37.0
3819,17.0
3821,2.0
3826,5.0
3828,54.0
3830,3.0
3831,17.0
3834,23.0
3835,1.0
3838,1.0
3840,15.0
3842,9.0
3843,158.0
3844,32.0
3845,86.0
3848,83.0
3849,5.0
3851,18.0
3852,9.0
3865,27.0
3868,1.0
3869,9.0
3881,1.0
3883,1.0
3885,2.0
3886,3.0
3888,4.0
3894,3.0
3897,11.0
3899,1.0
3903,23.0
3904,4.0
3905,31.0
3914,1.0
3915,3.0
3916,3.0
3917,9.0
3920,194.0
3921,16.0
3922,5.0
3923,1.0
3924,1.0
3925,1.0
3926,28.0
3927,47.0
3928,2.0
3930,23.0
3936,1.0
3937,88.0
3939,1.0
3942,1.0
3945,14.0
3946,10.0
3947,1.0
3948,3.0
3949,66.0
3953,22.0
3955,122.0
3959,94.0
3961,3.0
3963,4.0
3966,79.0
3967,1.0
3971,80.0
3976,8.0
3979,2.0
3980,36.0
3982,1.0
3983,2.0
3984,4.0
3985,78.0
3987,5.0
3992,3.0
3993,4.0
3996,6.0
3997,1.0
3999,1.0
4000,28.0
4004,34.0
4005,26.0
4006,15.0
4007,1.0
4008,5.0
4012,1.0
4016,32.0
4018,4.0
4019,1.0
4020,14.0
4021,16.0
4024,70.0
4025,47.0
4030,32.0
4038,8.0
4041,4.0
4046,3.0
4051,1.0
4053,4.0
4057,1.0
4058,12.0
4063,1.0
4068,3.0
4069,4.0
4075,6.0
4081,3.0
4083,4.0
4085,2.0
4088,4.0
4090,61.0
4094,82.0
4097,1.0
4104,50.0
4106,17.0
4107,7.0
4110,78.0
4113,16.0
4114,37.0
4115,30.0
4120,66.0
4122,9.0
4128,3.0
4133,18.0
4134,6.0
4135,45.0
4136,23.0
4139,3.0
4140,5.0
4141,2.0
4143,2.0
4146,39.0
4149,1.0
4150,5.0
4157,7.0
4158,24.0
4171,4.0
4174,18.0
4188,1.0
4190,1.0
4191,1.0
4200,7.0
4218,1.0
4220,9.0
4221,5.0
4227,3.0
4230,1.0
4232,2.0
4240,1.0
4242,61.0
4249,6.0
4252,2.0
4260,95.0
4261,26.0
4262,79.0
4264,8.0
4268,5.0
4290,22.0
4293,8.0
4294,5.0
4296,2.0
4297,13.0
4299,15.0
4300,2.0
4306,9.0
4307,4.0
4311,11.0
4312,42.0
4313,2.0
4314,3.0
4318,37.0
4320,27.0
4321,33.0
4322,7.0
4323,2.0
4332,4.0
4334,2.0
4335,3.0
4339,3.0
4340,31.0
4347,2.0
4349,12.0
4351,1.0
4353,224.0
4355,66.0
4361,32.0
4362,69.0
4363,3.0
4364,1.0
4365,11.0
4369,12.0
4371,3.0
4377,5.0
4381,1.0
4383,12.0
4386,74.0
4389,52.0
4390,6.0
4392,56.0
4394,50.0
4396,16.0
4405,3.0
4419,1.0
4421,21.0
4423,1.0
4427,26.0
4431,119.0
4438,1.0
4443,9.0
4447,7.0
4448,2.0
4456,7.0
4457,2.0
4463,7.0
4466,11.0
4473,22.0
4475,3.0
4479,90.0
4481,10.0
4482,14.0
4483,4.0
4485,134.0
4490,15.0
4492,1.0
4493,5.0
4494,18.0
4497,94.0
4499,3.0
4505,14.0
4512,30.0
4513,9.0
4515,1.0
4516,9.0
4518,8.0
4535,6.0
4539,4.0
4540,30.0
4542,4.0
4544,11.0
4545,5.0
4546,4.0
4553,1.0
4555,16.0
4557,12.0
4559,13.0
4560,5.0
4561,8.0
4563,4.0
4570,21.0
4571,16.0
4581,1.0
4584,1.0
4586,8.0
4595,5.0
4597,30.0
4598,20.0
4602,16.0
4605,5.0
4606,33.0
4607,10.0
4608,43.0
4609,63.0
4613,2.0
4615,2.0
4619,5.0
4620,4.0
4621,2.0
4622,27.0
4629,16.0
4633,3.0
4636,11.0
4637,10.0
4643,27.0
4648,3.0
4652,3.0
4655,10.0
4656,3.0
4658,4.0
4660,20.0
4668,15.0
4669,256.0
4670,1.0
4671,4.0
4676,5.0
4678,1.0
4681,4.0
4684,43.0
4688,1.0
4690,21.0
4691,8.0
4697,11.0
4701,11.0
4708,31.0
