,0
775,1031.0
776,153.0
777,97.0
778,3927.0
779,37.0
780,42.0
783,6.0
786,20.0
790,43.0
791,178.0
792,1028.0
793,33.0
795,148.0
796,867.0
797,100.0
799,11.0
802,1163.0
806,423.0
808,1764.0
810,1149.0
815,10.0
816,1313.0
819,11.0
820,2.0
821,1081.0
822,78.0
823,89.0
824,219.0
825,141.0
826,325.0
827,889.0
830,2490.0
831,17.0
834,157.0
835,1032.0
836,1.0
837,44.0
838,120.0
839,1350.0
840,95.0
842,140.0
843,244.0
844,135.0
847,77.0
848,15.0
849,10.0
850,23.0
851,22.0
852,4.0
854,3.0
855,822.0
857,40.0
858,71.0
859,26.0
860,110.0
862,613.0
863,88.0
864,65.0
865,194.0
867,61.0
868,2.0
870,34.0
871,18.0
872,4.0
873,202.0
874,1.0
875,16.0
876,3.0
883,1988.0
884,511.0
885,2125.0
887,4.0
890,281.0
892,145.0
894,40.0
895,251.0
896,49.0
897,469.0
899,8.0
901,669.0
902,15.0
903,82.0
904,64.0
905,46.0
908,1824.0
909,847.0
910,3521.0
913,40.0
914,3833.0
915,1.0
916,536.0
920,27.0
921,81.0
923,6.0
924,11.0
926,29.0
927,3.0
930,36.0
932,1369.0
933,97.0
934,115.0
935,123.0
938,129.0
940,4.0
941,3003.0
942,635.0
943,658.0
944,1780.0
947,663.0
948,388.0
949,9.0
950,469.0
951,260.0
954,6.0
956,2467.0
957,290.0
959,2326.0
961,38.0
962,1523.0
963,24.0
964,63.0
968,462.0
969,17.0
970,107.0
972,4.0
975,38.0
979,92.0
985,5.0
986,3271.0
988,19.0
989,328.0
990,62.0
991,196.0
994,231.0
995,378.0
996,1592.0
997,6.0
1003,20.0
1004,12.0
1005,7.0
1010,98.0
1011,5432.0
1013,683.0
1014,352.0
1015,178.0
1017,15.0
1019,384.0
1020,300.0
1021,582.0
1025,13.0
1026,535.0
1030,10.0
1031,16.0
1032,46.0
1033,53.0
1037,25.0
1038,1934.0
1040,1.0
1041,521.0
1044,1472.0
1050,280.0
1052,857.0
1053,4.0
1054,383.0
1055,4.0
1056,4.0
1057,75.0
1058,2504.0
1059,417.0
1060,760.0
1061,496.0
1062,248.0
1063,213.0
1065,98.0
1068,299.0
1070,4656.0
1072,2225.0
1074,153.0
1078,47.0
1079,39.0
1081,1.0
1082,128.0
1083,846.0
1084,17.0
1086,928.0
1087,1492.0
1089,5.0
1090,8.0
1091,124.0
1092,177.0
1094,10.0
1095,1745.0
1097,92.0
1098,153.0
1099,1457.0
1100,37.0
1103,1162.0
1104,181.0
1105,942.0
1106,73.0
1107,8.0
1109,265.0
1110,751.0
1112,117.0
1113,59.0
1116,301.0
1117,504.0
1118,304.0
1119,2966.0
1121,830.0
1123,308.0
1125,122.0
1127,239.0
1128,66.0
1131,3593.0
1133,1004.0
1136,60.0
1138,136.0
1140,25.0
1141,436.0
1142,540.0
1143,5.0
1144,1419.0
1145,1053.0
1146,441.0
1148,862.0
1150,3.0
1151,258.0
1152,221.0
1154,2199.0
1155,11.0
1156,1881.0
1157,46.0
1160,899.0
1161,96.0
1162,226.0
1164,139.0
1167,324.0
1168,85.0
1169,136.0
1171,266.0
1172,239.0
1174,2.0
1176,7.0
1177,9.0
1178,383.0
1179,71.0
1180,511.0
1181,10.0
1182,7.0
1185,7.0
1187,3102.0
1189,314.0
1190,98.0
1191,24.0
1196,190.0
1198,6.0
1199,872.0
1201,1472.0
1205,266.0
1206,543.0
1207,1.0
1208,126.0
1214,8.0
1215,406.0
1217,46.0
1219,1.0
1220,28.0
1221,11.0
1222,20.0
1223,15.0
1225,1283.0
1226,13.0
1228,44.0
1229,583.0
1230,3.0
1231,78.0
1233,8.0
1235,436.0
1236,1.0
1237,151.0
1238,667.0
1239,9.0
1240,237.0
1241,2.0
1242,714.0
1243,16.0
1244,505.0
1246,112.0
1247,166.0
1249,493.0
1250,246.0
1251,1.0
1253,10.0
1254,7.0
1255,15.0
1256,1970.0
1257,1326.0
1261,83.0
1263,2.0
1264,281.0
1266,7308.0
1267,956.0
1268,1236.0
1269,36.0
1270,465.0
1273,431.0
1275,23.0
1278,9.0
1280,2.0
1286,1079.0
1288,11.0
1289,52.0
1292,145.0
1294,1.0
1295,134.0
1296,2.0
1300,64.0
1302,691.0
1304,1389.0
1305,5.0
1306,2.0
1307,1049.0
1308,1.0
1309,49.0
1310,7.0
1312,354.0
1317,2.0
1318,503.0
1320,7.0
1321,551.0
1322,112.0
1323,1559.0
1324,9.0
1325,64.0
1326,159.0
1328,24.0
1329,1523.0
1330,222.0
1331,32.0
1334,5.0
1336,53.0
1337,7.0
1338,99.0
1340,254.0
1341,143.0
1342,19.0
1346,15.0
1348,53.0
1350,2059.0
1351,1424.0
1352,288.0
1353,208.0
1356,2477.0
